name,category_list,market,funding_total_usd,status,country_code,city,funding_rounds,founded_at,first_funding_at,last_funding_at,venture,debt_financing,private_equity,stage_level,early_stage_funding,early_stage_funding_ratio,venture_ratio,debt_financing_ratio,private_equity_ratio,log_funding_total_usd,log_funding_rounds,log_early_stage_funding,log_venture,log_debt_financing,log_private_equity,SubCluster
Hydrobee,|Outdoors|Clean Energy|Hardware + Software|, Hardware + Software ,12000.0,operating,USA,Seattle,1.0,2013-09-04,2013-09-17,2013-09-17,12000.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,9.392745258631441,0.6931471805599453,0.0,9.392745258631441,0.0,0.0,1
Hydrocapsule,|Biotechnology|, Biotechnology ,25000.0,operating,USA,Jasper,1.0,2010-01-01,2010-08-24,2010-08-24,25000.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,10.12667110305036,0.6931471805599453,0.0,10.12667110305036,0.0,0.0,1
Hygea Holdings,|Health and Wellness|, Health and Wellness ,3060100.0,operating,USA,Doral,1.0,,2014-02-03,2014-02-03,3060100.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,14.933958479919808,0.6931471805599453,0.0,14.933958479919808,0.0,0.0,1
Hygeia Therapeutics,|Biotechnology|, Biotechnology ,1000000.0,operating,USA,Holden,1.0,,2010-04-13,2010-04-13,1000000.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,13.815511557963774,0.6931471805599453,0.0,13.815511557963774,0.0,0.0,1
Hylete,|Health and Wellness|, Health and Wellness ,300000.0,operating,USA,Solana Beach,1.0,2012-03-17,2009-10-22,2009-10-22,300000.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,12.611541086966115,0.6931471805599453,0.0,12.611541086966115,0.0,0.0,1
HylioSoft,|Curated Web|, Curated Web ,50000.0,operating,FRA,Metz-tessy,1.0,2004-06-01,2006-12-01,2006-12-01,0.0,0.0,0.0,0,50000.0,1.0,0.0,0.0,0.0,10.819798284210286,0.6931471805599453,10.819798284210286,0.0,0.0,0.0,2
Hypecal,|Apps|Social Media|Events|Mobile|Search|, Mobile ,26001.0,operating,ESP,Barcelona,1.0,2013-04-01,2013-03-10,2013-03-10,0.0,0.0,0.0,0,26001.0,1.0,0.0,0.0,0.0,10.165928737122114,0.6931471805599453,10.165928737122114,0.0,0.0,0.0,2
Hypejar,|Consumers|Reviews and Recommendations|Web Tools|Social Media|Curated Web|, Consumers ,30015.0,operating,CAN,Toronto,1.0,,2013-02-01,2013-02-01,0.0,0.0,0.0,0,30015.0,1.0,0.0,0.0,0.0,10.30948585180595,0.6931471805599453,10.30948585180595,0.0,0.0,0.0,2
Hypemarks,|Ediscovery|Social Media|Internet|Curated Web|, Ediscovery ,370000.0,operating,USA,San Francisco,2.0,2011-10-31,2011-12-02,2012-06-19,0.0,0.0,0.0,0,370000.0,1.0,0.0,0.0,0.0,12.821260987319457,1.0986122886681098,12.821260987319457,0.0,0.0,0.0,0
HypePoints,|Entertainment|File Sharing|Social Media|, Social Media ,1000.0,operating,,,1.0,2011-10-01,2011-09-01,2011-09-01,0.0,0.0,0.0,0,1000.0,1.0,0.0,0.0,0.0,6.90875477931522,0.6931471805599453,6.90875477931522,0.0,0.0,0.0,2
